Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,52584,310.0,2154,,,,,,
,,,,,53000,,,7.114651203155518,10.9187650680542,10.228375434875488,269.603759765625,0.9319375,9.864572916666666e-05
,,,,,53091,340.0,2034,,,,,,
,,,,,53583,300.0,1978,,,,,,
,,,,,54000,,,7.533396244049072,11.059202194213867,11.633602142333984,202.20098876953125,0.929875,9.85415625e-05
,,,,,54090,230.0,2058,,,,,,
,,,,,54592,240.0,2010,,,,,,
,,,,,55000,,,10.39059829711914,13.167475700378418,12.795585632324219,261.2467956542969,0.9278125,9.843739583333333e-05
,,,,,55059,250.0,1890,,,,,,
,,,,,55547,170.0,1962,,,,,,
,,,,,56000,,,3.7131431102752686,9.291717529296875,9.283669471740723,91.4535903930664,0.92575,9.833322916666668e-05
,,,,,56005,410.0,1858,,,,,,
,,,,,56439,180.0,1762,,,,,,
,,,,,56985,390.0,2186,,,,,,
,,,,,57000,,,8.740768432617188,11.826810836791992,11.917594909667969,221.27430725097656,0.9236875,9.82290625e-05
,,,,,57450,200.0,1874,,,,,,
,,,,,58000,,,3.5876004695892334,12.947233200073242,12.990363121032715,161.7003631591797,0.921625,9.812489583333335e-05
,,,,,58006,270.0,2226,,,,,,
,,,,,58444,270.0,1754,,,,,,
,,,,,58925,170.0,1938,,,,,,
,,,,,59000,,,1.9354615211486816,10.252405166625977,9.492801666259766,130.35772705078125,0.9195625000000001,9.802072916666668e-05
,,,,,59442,230.0,2090,,,,,,
,,,,,59951,240.0,2050,,,,,,
276.0,75.789185,390.0,190.0,2211.6,60000,,,6.736134052276611,12.727339744567871,12.84958267211914,151.12477111816406,0.9175,9.79165625e-05
,,,,,60362,240.0,1650,,,,,,
,,,,,60846,180.0,1946,,,,,,
,,,,,61000,,,4.722367763519287,12.981738090515137,12.623228073120117,138.2149658203125,0.9154375,9.781239583333333e-05
,,,,,61296,180.0,1802,,,,,,
,,,,,61801,200.0,2034,,,,,,
,,,,,62000,,,51.23523712158203,13.570615768432617,14.888472557067871,332.26104736328125,0.913375,9.770822916666668e-05
,,,,,62195,260.0,1594,,,,,,
,,,,,62873,680.0,2722,,,,,,
,,,,,63000,,,1.6010828018188477,13.747217178344727,13.712007522583008,71.99551391601562,0.9113125,9.76040625e-05
,,,,,63336,260.0,1858,,,,,,
,,,,,63803,240.0,1874,,,,,,
,,,,,64000,,,5.241250038146973,15.39478874206543,15.557408332824707,102.99298858642578,0.90925,9.749989583333335e-05
,,,,,64261,250.0,1858,,,,,,
,,,,,64748,230.0,1970,,,,,,
,,,,,65000,,,4.236328601837158,16.13934326171875,15.273447036743164,263.9447937011719,0.9071875,9.739572916666667e-05
,,,,,65249,200.0,2026,,,,,,
,,,,,65711,330.0,1866,,,,,,
,,,,,66000,,,7.668979644775391,19.490680694580078,18.56277084350586,340.3811950683594,0.905125,9.72915625e-05
,,,,,66173,230.0,1874,,,,,,
,,,,,66637,220.0,1866,,,,,,
,,,,,67000,,,7.992056846618652,16.431564331054688,16.56768035888672,232.38320922851562,0.9030625,9.718739583333334e-05
,,,,,67173,260.0,2146,,,,,,
,,,,,67602,210.0,1722,,,,,,
,,,,,68000,,,11.026632308959961,14.665424346923828,15.237468719482422,193.61221313476562,0.901,9.708322916666667e-05
,,,,,68105,290.0,2010,,,,,,
,,,,,68715,260.0,2458,,,,,,
,,,,,69000,,,11.20828914642334,19.996017456054688,21.198822021484375,309.5645751953125,0.8989375,9.69790625e-05
,,,,,69195,230.0,1922,,,,,,
,,,,,69636,230.0,1778,,,,,,
771.0,177.7892,970.0,300.0,3653.2,70000,,,5.52460241317749,19.46304702758789,19.110897064208984,190.9676971435547,0.896875,9.687489583333333e-05
,,,,,70061,210.0,1722,,,,,,
,,,,,70589,200.0,2138,,,,,,
,,,,,71000,,,113.3947525024414,19.60431671142578,22.22857666015625,461.16766357421875,0.8948125,9.677072916666667e-05
,,,,,71102,230.0,2082,,,,,,
,,,,,71662,220.0,2266,,,,,,
,,,,,72000,,,9.534708976745605,15.50250244140625,15.989360809326172,190.00936889648438,0.89275,9.66665625e-05
,,,,,72316,550.0,2642,,,,,,
,,,,,72768,220.0,1826,,,,,,
,,,,,73000,,,124.85816192626953,21.940872192382812,23.252399444580078,2362.912109375,0.8906875,9.656239583333334e-05
,,,,,73252,180.0,1938,,,,,,
,,,,,73788,200.0,2162,,,,,,
,,,,,74000,,,19.21436309814453,18.451797485351562,18.982067108154297,161.6475830078125,0.888625,9.645822916666667e-05
,,,,,74199,230.0,1674,,,,,,
,,,,,74833,250.0,2554,,,,,,
,,,,,75000,,,3.7478678226470947,19.435049057006836,18.999248504638672,140.25868225097656,0.8865625,9.635406250000001e-05
,,,,,75387,280.0,2234,,,,,,
,,,,,75879,200.0,1970,,,,,,
,,,,,76000,,,115.20111846923828,22.14701271057129,24.170602798461914,676.0700073242188,0.8845,9.624989583333334e-05
,,,,,76377,220.0,1994,,,,,,
,,,,,76829,150.0,1818,,,,,,
,,,,,77000,,,8.329185485839844,22.87162971496582,23.254520416259766,289.74847412109375,0.8824375,9.614572916666667e-05
,,,,,77199,230.0,1498,,,,,,
,,,,,77681,210.0,1946,,,,,,
,,,,,78000,,,5.279298782348633,18.82219696044922,18.562583923339844,105.37751770019531,0.880375,9.60415625e-05
,,,,,78292,230.0,2458,,,,,,
,,,,,78745,220.0,1818,,,,,,
,,,,,79000,,,7.221024513244629,21.412134170532227,21.53058433532715,242.18673706054688,0.8783125,9.593739583333334e-05
,,,,,79331,320.0,2362,,,,,,
