Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3086,5.0,5,,,,,,,,
,,,,,3091,5.0,5,,,,,,,,
,,,,,3094,3.0,3,,,,,,,,
,,,,,3100,6.0,6,,,,,,,,
,,,,,3104,4.0,4,,,,,,,,
,,,,,3111,7.0,7,,,,,,,,
,,,,,3117,6.0,6,,,,,,,,
,,,,,3123,6.0,6,,,,,,,,
,,,,,3126,3.0,3,,,,,,,,
,,,,,3130,4.0,4,,,,,,,,
,,,,,3133,3.0,3,,,,,,,,
,,,,,3137,4.0,4,,,,,,,,
,,,,,3140,3.0,3,,,,,,,,
,,,,,3144,4.0,4,,,,,,,,
,,,,,3148,4.0,4,,,,,,,,
,,,,,3157,9.0,9,,,,,,,,
,,,,,3162,5.0,5,,,,,,,,
,,,,,3166,4.0,4,,,,,,,,
,,,,,3170,4.0,4,,,,,,,,
,,,,,3174,4.0,4,,,,,,,,
,,,,,3185,11.0,11,,,,,,,,
,,,,,3209,24.0,24,,,,,,,,
,,,,,3219,10.0,10,,,,,,,,
,,,,,3228,9.0,9,,,,,,,,
,,,,,3240,12.0,12,,,,,,,,
,,,,,3244,4.0,4,,,,,,,,
,,,,,3248,4.0,4,,,,,,,,
,,,,,3254,6.0,6,,,,,,,,
,,,,,3266,12.0,12,,,,,,,,
,,,,,3271,5.0,5,,,,,,,,
,,,,,3280,9.0,9,,,,,,,,
,,,,,3286,6.0,6,,,,,,,,
,,,,,3292,6.0,6,,,,,,,,
,,,,,3300,8.0,8,,,,,,,,
,,,,,3309,9.0,9,,,,,,,,
,,,,,3312,3.0,3,,,,,,,,
,,,,,3315,3.0,3,,,,,,,,
,,,,,3321,6.0,6,,,,,,,,
,,,,,3325,4.0,4,,,,,,,,
,,,,,3338,13.0,13,,,,,,,,
,,,,,3346,8.0,8,,,,,,,,
,,,,,3352,6.0,6,,,,,,,,
,,,,,3356,4.0,4,,,,,,,,
,,,,,3360,4.0,4,,,,,,,,
,,,,,3364,4.0,4,,,,,,,,
,,,,,3368,4.0,4,,,,,,,,
,,,,,3373,5.0,5,,,,,,,,
