Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1596,7.0,7,,,,,,
,,,,,1601,5.0,5,,,,,,
,,,,,1605,4.0,4,,,,,,
,,,,,1608,3.0,3,,,,,,
,,,,,1614,6.0,6,,,,,,
,,,,,1619,5.0,5,,,,,,
,,,,,1623,4.0,4,,,,,,
,,,,,1637,14.0,14,,,,,,
,,,,,1653,16.0,16,,,,,,
,,,,,1661,8.0,8,,,,,,
,,,,,1665,4.0,4,,,,,,
,,,,,1668,3.0,3,,,,,,
,,,,,1673,5.0,5,,,,,,
,,,,,1684,11.0,11,,,,,,
,,,,,1690,6.0,6,,,,,,
,,,,,1699,9.0,9,,,,,,
,,,,,1703,4.0,4,,,,,,
,,,,,1708,5.0,5,,,,,,
,,,,,1717,9.0,9,,,,,,
,,,,,1722,5.0,5,,,,,,
,,,,,1730,8.0,8,,,,,,
,,,,,1742,12.0,12,,,,,,
,,,,,1757,15.0,15,,,,,,
,,,,,1762,5.0,5,,,,,,
,,,,,1766,4.0,4,,,,,,
,,,,,1771,5.0,5,,,,,,
,,,,,1774,3.0,3,,,,,,
,,,,,1779,5.0,5,,,,,,
,,,,,1799,20.0,20,,,,,,
,,,,,1803,4.0,4,,,,,,
,,,,,1807,4.0,4,,,,,,
,,,,,1811,4.0,4,,,,,,
,,,,,1819,8.0,8,,,,,,
,,,,,1823,4.0,4,,,,,,
,,,,,1826,3.0,3,,,,,,
,,,,,1833,7.0,7,,,,,,
,,,,,1838,5.0,5,,,,,,
,,,,,1852,14.0,14,,,,,,
,,,,,1860,8.0,8,,,,,,
,,,,,1864,4.0,4,,,,,,
,,,,,1868,4.0,4,,,,,,
,,,,,1882,14.0,14,,,,,,
,,,,,1895,13.0,13,,,,,,
,,,,,1907,12.0,12,,,,,,
,,,,,1910,3.0,3,,,,,,
,,,,,1915,5.0,5,,,,,,
,,,,,1930,15.0,15,,,,,,
,,,,,1939,9.0,9,,,,,,
,,,,,1949,10.0,10,,,,,,
,,,,,1957,8.0,8,,,,,,
,,,,,1962,5.0,5,,,,,,
,,,,,1973,11.0,11,,,,,,
,,,,,1996,23.0,23,,,,,,
,,,,,2003,7.0,7,,,,,,
,,,,,2009,6.0,6,,,,,,
,,,,,2013,4.0,4,,,,,,
,,,,,2017,4.0,4,,,,,,
,,,,,2026,9.0,9,,,,,,
,,,,,2043,17.0,17,,,,,,
,,,,,2051,8.0,8,,,,,,
,,,,,2076,25.0,25,,,,,,
,,,,,2081,5.0,5,,,,,,
,,,,,2085,4.0,4,,,,,,
,,,,,2100,15.0,15,,,,,,
,,,,,2108,8.0,8,,,,,,
,,,,,2114,6.0,6,,,,,,
,,,,,2120,6.0,6,,,,,,
,,,,,2129,9.0,9,,,,,,
,,,,,2136,7.0,7,,,,,,
,,,,,2152,16.0,16,,,,,,
,,,,,2156,4.0,4,,,,,,
,,,,,2163,7.0,7,,,,,,
,,,,,2172,9.0,9,,,,,,
,,,,,2178,6.0,6,,,,,,
,,,,,2182,4.0,4,,,,,,
,,,,,2185,3.0,3,,,,,,
,,,,,2200,15.0,15,,,,,,
,,,,,2209,9.0,9,,,,,,
,,,,,2215,6.0,6,,,,,,
,,,,,2222,7.0,7,,,,,,
,,,,,2231,9.0,9,,,,,,
,,,,,2235,4.0,4,,,,,,
,,,,,2256,21.0,21,,,,,,
,,,,,2259,3.0,3,,,,,,
,,,,,2266,7.0,7,,,,,,
,,,,,2270,4.0,4,,,,,,
,,,,,2295,25.0,25,,,,,,
,,,,,2298,3.0,3,,,,,,
,,,,,2303,5.0,5,,,,,,
,,,,,2308,5.0,5,,,,,,
,,,,,2312,4.0,4,,,,,,
,,,,,2322,10.0,10,,,,,,
,,,,,2330,8.0,8,,,,,,
,,,,,2341,11.0,11,,,,,,
,,,,,2352,11.0,11,,,,,,
,,,,,2358,6.0,6,,,,,,
,,,,,2363,5.0,5,,,,,,
,,,,,2367,4.0,4,,,,,,
,,,,,2380,13.0,13,,,,,,
,,,,,2388,8.0,8,,,,,,
,,,,,2425,37.0,37,,,,,,
,,,,,2428,3.0,3,,,,,,
,,,,,2432,4.0,4,,,,,,
,,,,,2436,4.0,4,,,,,,
,,,,,2443,7.0,7,,,,,,
,,,,,2454,11.0,11,,,,,,
,,,,,2457,3.0,3,,,,,,
,,,,,2467,10.0,10,,,,,,
,,,,,2470,3.0,3,,,,,,
,,,,,2478,8.0,8,,,,,,
,,,,,2482,4.0,4,,,,,,
,,,,,2487,5.0,5,,,,,,
,,,,,2490,3.0,3,,,,,,
,,,,,2507,17.0,17,,,,,,
,,,,,2510,3.0,3,,,,,,
,,,,,2519,9.0,9,,,,,,
,,,,,2523,4.0,4,,,,,,
,,,,,2528,5.0,5,,,,,,
,,,,,2541,13.0,13,,,,,,
,,,,,2555,14.0,14,,,,,,
,,,,,2562,7.0,7,,,,,,
,,,,,2572,10.0,10,,,,,,
,,,,,2577,5.0,5,,,,,,
,,,,,2591,14.0,14,,,,,,
,,,,,2594,3.0,3,,,,,,
,,,,,2597,3.0,3,,,,,,
,,,,,2613,16.0,16,,,,,,
,,,,,2617,4.0,4,,,,,,
,,,,,2625,8.0,8,,,,,,
,,,,,2633,8.0,8,,,,,,
,,,,,2646,13.0,13,,,,,,
,,,,,2664,18.0,18,,,,,,
,,,,,2667,3.0,3,,,,,,
,,,,,2670,3.0,3,,,,,,
,,,,,2673,3.0,3,,,,,,
,,,,,2682,9.0,9,,,,,,
,,,,,2686,4.0,4,,,,,,
,,,,,2694,8.0,8,,,,,,
,,,,,2702,8.0,8,,,,,,
,,,,,2707,5.0,5,,,,,,
,,,,,2711,4.0,4,,,,,,
,,,,,2715,4.0,4,,,,,,
,,,,,2726,11.0,11,,,,,,
,,,,,2740,14.0,14,,,,,,
,,,,,2750,10.0,10,,,,,,
,,,,,2760,10.0,10,,,,,,
,,,,,2765,5.0,5,,,,,,
,,,,,2775,10.0,10,,,,,,
,,,,,2781,6.0,6,,,,,,
,,,,,2785,4.0,4,,,,,,
,,,,,2792,7.0,7,,,,,,
,,,,,2796,4.0,4,,,,,,
,,,,,2802,6.0,6,,,,,,
,,,,,2807,5.0,5,,,,,,
,,,,,2831,24.0,24,,,,,,
,,,,,2837,6.0,6,,,,,,
,,,,,2841,4.0,4,,,,,,
,,,,,2845,4.0,4,,,,,,
,,,,,2852,7.0,7,,,,,,
,,,,,2866,14.0,14,,,,,,
,,,,,2877,11.0,11,,,,,,
,,,,,2882,5.0,5,,,,,,
,,,,,2888,6.0,6,,,,,,
,,,,,2892,4.0,4,,,,,,
,,,,,2895,3.0,3,,,,,,
,,,,,2909,14.0,14,,,,,,
,,,,,2916,7.0,7,,,,,,
,,,,,2929,13.0,13,,,,,,
,,,,,2936,7.0,7,,,,,,
,,,,,2942,6.0,6,,,,,,
,,,,,2951,9.0,9,,,,,,
,,,,,2956,5.0,5,,,,,,
,,,,,2964,8.0,8,,,,,,
,,,,,2976,12.0,12,,,,,,
,,,,,2984,8.0,8,,,,,,
,,,,,2988,4.0,4,,,,,,
,,,,,2995,7.0,7,,,,,,
,,,,,3001,6.0,6,,,,,,
,,,,,3008,7.0,7,,,,,,
,,,,,3016,8.0,8,,,,,,
,,,,,3020,4.0,4,,,,,,
,,,,,3042,22.0,22,,,,,,
,,,,,3046,4.0,4,,,,,,
,,,,,3050,4.0,4,,,,,,
,,,,,3055,5.0,5,,,,,,
,,,,,3062,7.0,7,,,,,,
,,,,,3071,9.0,9,,,,,,
,,,,,3075,4.0,4,,,,,,
,,,,,3080,5.0,5,,,,,,
,,,,,3089,9.0,9,,,,,,
,,,,,3097,8.0,8,,,,,,
,,,,,3103,6.0,6,,,,,,
,,,,,3107,4.0,4,,,,,,
,,,,,3110,3.0,3,,,,,,
,,,,,3124,14.0,14,,,,,,
,,,,,3127,3.0,3,,,,,,
,,,,,3131,4.0,4,,,,,,
,,,,,3134,3.0,3,,,,,,
,,,,,3139,5.0,5,,,,,,
,,,,,3152,13.0,13,,,,,,
,,,,,3159,7.0,7,,,,,,
,,,,,3168,9.0,9,,,,,,
,,,,,3172,4.0,4,,,,,,
,,,,,3190,18.0,18,,,,,,
,,,,,3198,8.0,8,,,,,,
,,,,,3202,4.0,4,,,,,,
,,,,,3207,5.0,5,,,,,,
,,,,,3211,4.0,4,,,,,,
,,,,,3214,3.0,3,,,,,,
,,,,,3218,4.0,4,,,,,,
,,,,,3227,9.0,9,,,,,,
,,,,,3233,6.0,6,,,,,,
,,,,,3239,6.0,6,,,,,,
,,,,,3242,3.0,3,,,,,,
,,,,,3247,5.0,5,,,,,,
,,,,,3254,7.0,7,,,,,,
,,,,,3265,11.0,11,,,,,,
,,,,,3271,6.0,6,,,,,,
,,,,,3280,9.0,9,,,,,,
,,,,,3285,5.0,5,,,,,,
,,,,,3308,23.0,23,,,,,,
,,,,,3312,4.0,4,,,,,,
,,,,,3315,3.0,3,,,,,,
,,,,,3321,6.0,6,,,,,,
,,,,,3325,4.0,4,,,,,,
,,,,,3338,13.0,13,,,,,,
,,,,,3347,9.0,9,,,,,,
,,,,,3355,8.0,8,,,,,,
,,,,,3365,10.0,10,,,,,,
,,,,,3373,8.0,8,,,,,,
,,,,,3380,7.0,7,,,,,,
,,,,,3384,4.0,4,,,,,,
,,,,,3389,5.0,5,,,,,,
,,,,,3393,4.0,4,,,,,,
,,,,,3397,4.0,4,,,,,,
,,,,,3410,13.0,13,,,,,,
,,,,,3420,10.0,10,,,,,,
,,,,,3432,12.0,12,,,,,,
,,,,,3440,8.0,8,,,,,,
,,,,,3448,8.0,8,,,,,,
,,,,,3461,13.0,13,,,,,,
,,,,,3470,9.0,9,,,,,,
,,,,,3478,8.0,8,,,,,,
,,,,,3482,4.0,4,,,,,,
,,,,,3487,5.0,5,,,,,,
,,,,,3493,6.0,6,,,,,,
,,,,,3505,12.0,12,,,,,,
,,,,,3509,4.0,4,,,,,,
,,,,,3515,6.0,6,,,,,,
,,,,,3531,16.0,16,,,,,,
,,,,,3534,3.0,3,,,,,,
,,,,,3544,10.0,10,,,,,,
,,,,,3548,4.0,4,,,,,,
,,,,,3555,7.0,7,,,,,,
,,,,,3565,10.0,10,,,,,,
,,,,,3569,4.0,4,,,,,,
,,,,,3579,10.0,10,,,,,,
,,,,,3594,15.0,15,,,,,,
,,,,,3599,5.0,5,,,,,,
,,,,,3613,14.0,14,,,,,,
,,,,,3617,4.0,4,,,,,,
,,,,,3621,4.0,4,,,,,,
,,,,,3629,8.0,8,,,,,,
,,,,,3635,6.0,6,,,,,,
,,,,,3638,3.0,3,,,,,,
,,,,,3641,3.0,3,,,,,,
,,,,,3648,7.0,7,,,,,,
,,,,,3655,7.0,7,,,,,,
,,,,,3663,8.0,8,,,,,,
,,,,,3670,7.0,7,,,,,,
,,,,,3674,4.0,4,,,,,,
,,,,,3679,5.0,5,,,,,,
,,,,,3683,4.0,4,,,,,,
,,,,,3690,7.0,7,,,,,,
,,,,,3699,9.0,9,,,,,,
,,,,,3707,8.0,8,,,,,,
,,,,,3713,6.0,6,,,,,,
,,,,,3717,4.0,4,,,,,,
,,,,,3725,8.0,8,,,,,,
,,,,,3729,4.0,4,,,,,,
,,,,,3737,8.0,8,,,,,,
,,,,,3744,7.0,7,,,,,,
,,,,,3764,20.0,20,,,,,,
,,,,,3769,5.0,5,,,,,,
,,,,,3774,5.0,5,,,,,,
,,,,,3780,6.0,6,,,,,,
,,,,,3786,6.0,6,,,,,,
,,,,,3792,6.0,6,,,,,,
,,,,,3795,3.0,3,,,,,,
,,,,,3805,10.0,10,,,,,,
,,,,,3824,19.0,19,,,,,,
,,,,,3836,12.0,12,,,,,,
,,,,,3841,5.0,5,,,,,,
,,,,,3844,3.0,3,,,,,,
,,,,,3850,6.0,6,,,,,,
,,,,,3855,5.0,5,,,,,,
,,,,,3858,3.0,3,,,,,,
,,,,,3871,13.0,13,,,,,,
