Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,4092,20.0,20,,,,,,
,,,,,4115,23.0,23,,,,,,
,,,,,4130,15.0,15,,,,,,
,,,,,4162,32.0,32,,,,,,
,,,,,4212,50.0,50,,,,,,
,,,,,4242,30.0,30,,,,,,
,,,,,4269,27.0,27,,,,,,
,,,,,4290,21.0,21,,,,,,
,,,,,4345,55.0,55,,,,,,
,,,,,4374,29.0,29,,,,,,
,,,,,4417,43.0,43,,,,,,
,,,,,4442,25.0,25,,,,,,
,,,,,4452,10.0,10,,,,,,
,,,,,4467,15.0,15,,,,,,
,,,,,4552,85.0,85,,,,,,
,,,,,4569,17.0,17,,,,,,
,,,,,4608,39.0,39,,,,,,
,,,,,4639,31.0,31,,,,,,
,,,,,4670,31.0,31,,,,,,
,,,,,4681,11.0,11,,,,,,
,,,,,4715,34.0,34,,,,,,
,,,,,4766,51.0,51,,,,,,
,,,,,4779,13.0,13,,,,,,
,,,,,4792,13.0,13,,,,,,
,,,,,4801,9.0,9,,,,,,
,,,,,4824,23.0,23,,,,,,
,,,,,4837,13.0,13,,,,,,
,,,,,4861,24.0,24,,,,,,
,,,,,4885,24.0,24,,,,,,
,,,,,4906,21.0,21,,,,,,
,,,,,4920,14.0,14,,,,,,
,,,,,4950,30.0,30,,,,,,
,,,,,4962,12.0,12,,,,,,
,,,,,4979,17.0,17,,,,,,
,,,,,4994,15.0,15,,,,,,
169.7,46.85307,260.0,117.0,169.7,5000,,,0.025319356471300125,4.006304740905762,4.033603191375732,0.3288884162902832,0.85,0.0005
,,,,,5009,15.0,15,,,,,,
,,,,,5035,26.0,26,,,,,,
,,,,,5065,30.0,30,,,,,,
,,,,,5094,29.0,29,,,,,,
,,,,,5115,21.0,21,,,,,,
,,,,,5123,8.0,8,,,,,,
,,,,,5138,15.0,15,,,,,,
,,,,,5151,13.0,13,,,,,,
,,,,,5166,15.0,15,,,,,,
,,,,,5180,14.0,14,,,,,,
,,,,,5200,20.0,20,,,,,,
,,,,,5214,14.0,14,,,,,,
,,,,,5238,24.0,24,,,,,,
,,,,,5254,16.0,16,,,,,,
,,,,,5281,27.0,27,,,,,,
,,,,,5320,39.0,39,,,,,,
,,,,,5335,15.0,15,,,,,,
,,,,,5345,10.0,10,,,,,,
,,,,,5367,22.0,22,,,,,,
,,,,,5392,25.0,25,,,,,,
,,,,,5415,23.0,23,,,,,,
,,,,,5447,32.0,32,,,,,,
,,,,,5469,22.0,22,,,,,,
,,,,,5485,16.0,16,,,,,,
,,,,,5516,31.0,31,,,,,,
,,,,,5543,27.0,27,,,,,,
,,,,,5555,12.0,12,,,,,,
,,,,,5567,12.0,12,,,,,,
,,,,,5635,68.0,68,,,,,,
,,,,,5658,23.0,23,,,,,,
,,,,,5667,9.0,9,,,,,,
,,,,,5678,11.0,11,,,,,,
,,,,,5703,25.0,25,,,,,,
,,,,,5715,12.0,12,,,,,,
,,,,,5728,13.0,13,,,,,,
,,,,,5747,19.0,19,,,,,,
,,,,,5769,22.0,22,,,,,,
,,,,,5807,38.0,38,,,,,,
,,,,,5818,11.0,11,,,,,,
,,,,,5829,11.0,11,,,,,,
,,,,,5872,43.0,43,,,,,,
,,,,,5892,20.0,20,,,,,,
,,,,,5903,11.0,11,,,,,,
,,,,,5920,17.0,17,,,,,,
,,,,,5955,35.0,35,,,,,,
,,,,,5988,33.0,33,,,,,,
