Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,19295,-159.80992,78,,,,,,
,,,,,19412,-299.50894,117,,,,,,
,,,,,19516,-184.71417,104,,,,,,
,,,,,19605,-355.39886,89,,,,,,
,,,,,19680,18.262665,75,,,,,,
,,,,,19784,-127.92128,104,,,,,,
,,,,,19902,-251.43245,118,,,,,,
,,,,,19992,-124.89583,90,,,,,,
-688.5448,241.25105,-452.45718,-1245.0721,106.4,20000,,,20.235435485839844,-0.04194380342960358,-1.1351292133331299,9.749691009521484,0.88,0.001
,,,,,20059,-107.737915,67,,,,,,
,,,,,20156,-112.88844,97,,,,,,
,,,,,20223,-94.311165,67,,,,,,
,,,,,20334,-410.16748,111,,,,,,
,,,,,21000,,,1.758484125137329,-1.0265408754348755,-1.2558681964874268,8.769840240478516,0.874,0.001
,,,,,21334,102.99425,1000,,,,,,
,,,,,21443,-132.29597,109,,,,,,
,,,,,21511,-119.95856,68,,,,,,
,,,,,21572,-121.533325,61,,,,,,
,,,,,21660,-343.46274,88,,,,,,
,,,,,21756,-114.65644,96,,,,,,
,,,,,21881,-304.04996,125,,,,,,
,,,,,22000,,,6.492502689361572,-2.136387825012207,-1.312119722366333,20.575347900390625,0.868,0.001
,,,,,22032,-25.849762,151,,,,,,
,,,,,22112,-113.76957,80,,,,,,
,,,,,22229,-181.32407,117,,,,,,
,,,,,22306,-110.15279,77,,,,,,
,,,,,22421,-73.745056,115,,,,,,
,,,,,22511,-325.80615,90,,,,,,
,,,,,22597,-291.46497,86,,,,,,
,,,,,22674,-203.60205,77,,,,,,
,,,,,22759,-369.71985,85,,,,,,
,,,,,22840,-197.80486,81,,,,,,
,,,,,22920,-144.94821,80,,,,,,
,,,,,22999,-214.98412,79,,,,,,
,,,,,23000,,,33.63800811767578,-2.9925801753997803,-3.0009384155273438,41.14130783081055,0.862,0.001
,,,,,23101,-125.87344,102,,,,,,
,,,,,23210,-516.56396,109,,,,,,
,,,,,23290,-153.93335,80,,,,,,
,,,,,23375,-147.05933,85,,,,,,
,,,,,23441,-125.41773,66,,,,,,
,,,,,23514,-126.59833,73,,,,,,
,,,,,23643,-130.9906,129,,,,,,
,,,,,23736,-148.8977,93,,,,,,
,,,,,23857,-125.01314,121,,,,,,
,,,,,23932,-225.73444,75,,,,,,
,,,,,24000,,,125.3541259765625,-4.826070785522461,-5.953083038330078,236.56419372558594,0.856,0.001
,,,,,24022,-84.447914,90,,,,,,
,,,,,24081,-111.01304,59,,,,,,
,,,,,24159,-257.7889,78,,,,,,
,,,,,24263,-423.32416,104,,,,,,
,,,,,24375,-363.63647,112,,,,,,
,,,,,24443,-118.709305,68,,,,,,
,,,,,24561,-142.26068,118,,,,,,
,,,,,24672,-294.91168,111,,,,,,
,,,,,24803,-194.25073,131,,,,,,
,,,,,24874,-86.92381,71,,,,,,
,,,,,25000,,,27.90113639831543,-5.91888952255249,-6.86491584777832,53.215641021728516,0.85,0.001
,,,,,25874,45.755333,1000,,,,,,
,,,,,25988,-229.47035,114,,,,,,
,,,,,26000,,,25.691984176635742,-3.8341002464294434,-5.140563011169434,106.39191436767578,0.844,0.001
,,,,,26091,-322.66132,103,,,,,,
,,,,,26172,-160.56625,81,,,,,,
,,,,,26267,-357.55957,95,,,,,,
,,,,,26407,-353.49518,140,,,,,,
,,,,,26473,-70.19559,66,,,,,,
,,,,,26534,-111.193054,61,,,,,,
,,,,,26642,-187.31512,108,,,,,,
,,,,,26699,-79.201294,57,,,,,,
,,,,,26798,-229.72691,99,,,,,,
,,,,,26921,-133.15845,123,,,,,,
,,,,,27000,,,10.601397514343262,-6.549202919006348,-6.495528697967529,54.4918212890625,0.838,0.001
,,,,,27048,-77.922005,127,,,,,,
,,,,,27122,-137.75392,74,,,,,,
,,,,,27211,-145.78787,89,,,,,,
,,,,,27320,-104.12009,109,,,,,,
,,,,,27444,-212.28894,124,,,,,,
,,,,,27559,-360.77866,115,,,,,,
,,,,,27655,-228.14124,96,,,,,,
,,,,,27729,-0.07923126,74,,,,,,
,,,,,27820,-53.396286,91,,,,,,
,,,,,27924,-368.25372,104,,,,,,
,,,,,28000,,,154.64364624023438,-5.149360179901123,-3.73012113571167,165.4727020263672,0.832,0.001
,,,,,28022,-308.1167,98,,,,,,
,,,,,28145,-157.75354,123,,,,,,
,,,,,28243,-108.57568,98,,,,,,
,,,,,28314,-115.32651,71,,,,,,
,,,,,28374,-80.56087,60,,,,,,
,,,,,28464,-364.14612,90,,,,,,
,,,,,28535,-84.28619,71,,,,,,
,,,,,28635,-97.48405,100,,,,,,
,,,,,28735,-245.2418,100,,,,,,
,,,,,28838,-213.27779,103,,,,,,
,,,,,28950,-275.2318,112,,,,,,
,,,,,29000,,,3.435471534729004,-3.155000686645508,-3.38081431388855,32.45616149902344,0.8260000000000001,0.001
,,,,,29045,-155.28204,95,,,,,,
,,,,,29141,-345.85327,96,,,,,,
,,,,,29231,-108.68867,90,,,,,,
,,,,,29301,-160.46136,70,,,,,,
,,,,,29390,-217.80042,89,,,,,,
,,,,,29464,-116.8324,74,,,,,,
,,,,,29599,-189.93683,135,,,,,,
,,,,,29666,-75.9536,67,,,,,,
,,,,,29759,-143.13148,93,,,,,,
,,,,,29855,-325.1548,96,,,,,,
,,,,,29964,-419.38678,109,,,,,,
-654.80664,370.4818,-19.326553,-1159.6687,508.2,30000,,,37.37743377685547,-6.855682373046875,-7.643364906311035,161.267822265625,0.82,0.001
,,,,,30047,-222.26447,83,,,,,,
,,,,,30108,-102.69111,61,,,,,,
,,,,,30277,-218.45288,169,,,,,,
,,,,,30352,-34.950188,75,,,,,,
,,,,,30441,-105.46885,89,,,,,,
,,,,,30504,-113.77563,63,,,,,,
,,,,,30589,-97.791985,85,,,,,,
,,,,,30665,-135.22643,76,,,,,,
,,,,,30784,-418.1909,119,,,,,,
,,,,,30907,-144.01358,123,,,,,,
,,,,,30993,-406.38885,86,,,,,,
,,,,,31000,,,15.596925735473633,-2.5655505657196045,-2.6717119216918945,65.79801940917969,0.8140000000000001,0.001
,,,,,31072,-98.15837,79,,,,,,
,,,,,31164,-444.45016,92,,,,,,
,,,,,31228,-77.905,64,,,,,,
,,,,,31303,-104.02144,75,,,,,,
,,,,,31399,-81.55086,96,,,,,,
,,,,,31503,-276.161,104,,,,,,
,,,,,31638,-304.7131,135,,,,,,
,,,,,31733,-140.5852,95,,,,,,
,,,,,31820,-275.66986,87,,,,,,
,,,,,31927,-158.56541,107,,,,,,
,,,,,32000,,,275.3777770996094,-6.518094062805176,-9.365029335021973,224.03118896484375,0.808,0.001
,,,,,32007,-311.9679,80,,,,,,
,,,,,32107,-392.8104,100,,,,,,
,,,,,32238,-149.51012,131,,,,,,
,,,,,32326,-224.35956,88,,,,,,
,,,,,32419,-153.14954,93,,,,,,
,,,,,32547,-150.45987,128,,,,,,
,,,,,32608,-118.98921,61,,,,,,
,,,,,32690,-422.32983,82,,,,,,
,,,,,32787,-96.038895,97,,,,,,
,,,,,32844,-168.3825,57,,,,,,
,,,,,32968,-162.8148,124,,,,,,
,,,,,33000,,,12.754671096801758,-10.710639953613281,-11.675451278686523,73.60102844238281,0.802,0.001
,,,,,33101,-160.49539,133,,,,,,
,,,,,33225,-344.72705,124,,,,,,
,,,,,33290,-101.57466,65,,,,,,
,,,,,33389,-488.82825,99,,,,,,
,,,,,33501,-206.00098,112,,,,,,
,,,,,33608,-97.92507,107,,,,,,
,,,,,33678,-57.16795,70,,,,,,
,,,,,33778,-131.93149,100,,,,,,
,,,,,33849,-17.981674,71,,,,,,
,,,,,33963,-540.0612,114,,,,,,
,,,,,34000,,,2.101480484008789,-4.763339042663574,-4.701590538024902,27.675884246826172,0.796,0.001
,,,,,34029,-98.36101,66,,,,,,
,,,,,34100,-312.5398,71,,,,,,
,,,,,34170,-24.075386,70,,,,,,
,,,,,34234,-96.4317,64,,,,,,
,,,,,34364,-64.59683,130,,,,,,
,,,,,34438,-117.55102,74,,,,,,
,,,,,34506,-50.923763,68,,,,,,
,,,,,34587,-210.99886,81,,,,,,
,,,,,34663,-114.249596,76,,,,,,
,,,,,34772,-293.83173,109,,,,,,
,,,,,34880,-285.41705,108,,,,,,
,,,,,34997,-274.9095,117,,,,,,
,,,,,35000,,,2.7768075466156006,-10.676864624023438,-10.628066062927246,18.508136749267578,0.79,0.001
,,,,,35069,-267.39685,72,,,,,,
,,,,,35192,-132.33524,123,,,,,,
,,,,,35279,-240.93312,87,,,,,,
,,,,,35385,-172.40338,106,,,,,,
,,,,,35475,-327.61346,90,,,,,,
,,,,,35593,-127.20338,118,,,,,,
,,,,,35697,-185.40437,104,,,,,,
,,,,,35780,-122.21391,83,,,,,,
,,,,,35881,-355.64496,101,,,,,,
,,,,,35947,-164.34492,66,,,,,,
,,,,,36000,,,4.077424049377441,-2.891862392425537,-2.5782554149627686,30.56875991821289,0.784,0.001
,,,,,36030,-160.1683,83,,,,,,
,,,,,36121,-145.66138,91,,,,,,
,,,,,36216,-61.606766,95,,,,,,
,,,,,36280,-128.35118,64,,,,,,
,,,,,36396,-238.34468,116,,,,,,
,,,,,36472,-297.62204,76,,,,,,
,,,,,36573,-354.0492,101,,,,,,
,,,,,36650,-177.08838,77,,,,,,
,,,,,36739,-310.04822,89,,,,,,
,,,,,36832,-298.3529,93,,,,,,
,,,,,36919,-228.53358,87,,,,,,
,,,,,36997,-83.62432,78,,,,,,
,,,,,37000,,,89.11009979248047,-6.010326385498047,-7.833737850189209,217.2663116455078,0.778,0.001
,,,,,37078,-91.98152,81,,,,,,
,,,,,37156,-64.46923,78,,,,,,
,,,,,37256,-396.3259,100,,,,,,
,,,,,37380,-341.9757,124,,,,,,
,,,,,37519,-355.17322,139,,,,,,
,,,,,37582,-63.177757,63,,,,,,
,,,,,37651,-90.911354,69,,,,,,
,,,,,37722,-287.86823,71,,,,,,
,,,,,37797,-195.78555,75,,,,,,
,,,,,37914,-381.24176,117,,,,,,
,,,,,38000,,,20.7341365814209,-7.226787567138672,-6.899834632873535,47.54328155517578,0.772,0.001
,,,,,38021,-237.72606,107,,,,,,
,,,,,38104,-463.16083,83,,,,,,
,,,,,38190,-366.09836,86,,,,,,
,,,,,38288,-146.59296,98,,,,,,
,,,,,38355,-171.03024,67,,,,,,
,,,,,38453,-154.69875,98,,,,,,
,,,,,38537,-120.24835,84,,,,,,
