Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,43000,,,-114.36698913574219,-6.062380313873291,0.46556365489959717,113.32546997070312,113.24209594726562,0.0253264382481575,0.525005578994751,0.0003,0.0003,0.02532702498137951
,,,,,43999,2694.8892,1000,,,,,,,,,,
,,,,,44000,,,-122.52604675292969,-6.002976417541504,0.6479911804199219,121.47193908691406,121.49066925048828,0.026030661538243294,0.33033448457717896,0.0003,0.0003,0.026032498106360435
,,,,,44999,2743.5642,1000,,,,,,,,,,
2423.5059,655.4234,2807.496,720.17175,1000.0,45000,,,-127.4883804321289,-5.747502326965332,0.6144535541534424,126.46128845214844,126.3597183227539,0.026719167828559875,-1.446927785873413,0.0003,0.0003,0.02671911008656025
,,,,,45999,2796.7102,1000,,,,,,,,,,
,,,,,46000,,,-130.77169799804688,-5.9769287109375,0.5019522309303284,129.86187744140625,129.89402770996094,0.027673590928316116,-0.23644661903381348,0.0003,0.0003,0.02767503634095192
,,,,,46999,2823.2966,1000,,,,,,,,,,
,,,,,47000,,,-137.87884521484375,-6.116360664367676,0.5398869514465332,136.83773803710938,136.84315490722656,0.02828163281083107,-0.25662875175476074,0.0003,0.0003,0.02828042581677437
,,,,,47999,2922.643,1000,,,,,,,,,,
,,,,,48000,,,-145.3392791748047,-5.978543281555176,0.6504995226860046,144.17694091796875,144.15203857421875,0.028972918167710304,-0.39996615052223206,0.0003,0.0003,0.02897324226796627
,,,,,48999,381.28555,1000,,,,,,,,,,
,,,,,49000,,,-140.97308349609375,-5.892021179199219,0.710399866104126,139.8158416748047,139.88470458984375,0.02928658202290535,-0.3472173810005188,0.0003,0.0003,0.02928495593369007
,,,,,49999,2983.1497,1000,,,,,,,,,,
3051.8757,31.125444,3102.7947,3003.81,1000.0,50000,,,-152.0480194091797,-6.0400238037109375,0.5123222470283508,150.7365264892578,150.73538208007812,0.028613343834877014,0.39124032855033875,0.0003,0.0003,0.02861287258565426
,,,,,50999,3051.7988,1000,,,,,,,,,,
,,,,,51000,,,-156.11508178710938,-5.889543056488037,0.4222966432571411,155.06149291992188,155.01364135742188,0.028036465868353844,-0.7466622591018677,0.0003,0.0003,0.028036151081323624
,,,,,51999,3016.6936,1000,,,,,,,,,,
,,,,,52000,,,-156.0760955810547,-5.647536277770996,0.539295494556427,155.14657592773438,155.23304748535156,0.027898885309696198,-1.0690199136734009,0.0003,0.0003,0.02789798006415367
,,,,,52999,3071.1443,1000,,,,,,,,,,
,,,,,53000,,,-169.32200622558594,-6.244100570678711,0.6616877317428589,168.25131225585938,168.03082275390625,0.028537018224596977,0.632858395576477,0.0003,0.0003,0.028536951169371605
,,,,,53999,3177.1035,1000,,,,,,,,,,
,,,,,54000,,,-164.8722686767578,-6.341032981872559,0.6635943055152893,163.61074829101562,163.6109619140625,0.0292445570230484,1.5932544469833374,0.0003,0.0003,0.029244709759950638
,,,,,54999,3162.0637,1000,,,,,,,,,,
3185.3389,49.15119,3241.0781,3084.9102,1000.0,55000,,,-170.65086364746094,-6.386277198791504,0.7731443643569946,169.47080993652344,169.52854919433594,0.029780449345707893,1.498584270477295,0.0003,0.0003,0.02978280745446682
,,,,,55999,3130.5867,1000,,,,,,,,,,
,,,,,56000,,,-167.02500915527344,-6.086124897003174,0.7221339344978333,165.93865966796875,165.9177703857422,0.03028000332415104,0.9446365833282471,0.0003,0.0003,0.030280357226729393
,,,,,56999,3103.1848,1000,,,,,,,,,,
,,,,,57000,,,-180.24722290039062,-5.888548851013184,0.5972301363945007,179.25364685058594,179.29074096679688,0.030962375923991203,-0.32208260893821716,0.0003,0.0003,0.030963674187660217
,,,,,57999,3211.204,1000,,,,,,,,,,
,,,,,58000,,,-183.2169189453125,-5.9606804847717285,0.7904249429702759,182.23809814453125,182.2974853515625,0.03154134750366211,-0.08407189697027206,0.0003,0.0003,0.031542520970106125
,,,,,58999,3200.081,1000,,,,,,,,,,
,,,,,59000,,,-186.08982849121094,-6.090397834777832,0.6030145883560181,185.0614471435547,185.03977966308594,0.03204478323459625,-1.0065569877624512,0.0003,0.0003,0.03204524889588356
,,,,,59999,3235.9292,1000,,,,,,,,,,
3256.4478,32.336834,3313.9102,3204.799,1000.0,60000,,,-189.4117889404297,-5.627476692199707,0.594704270362854,188.58238220214844,188.4964599609375,0.032845258712768555,-0.8401937484741211,0.0003,0.0003,0.032844528555870056
,,,,,60999,3217.8855,1000,,,,,,,,,,
,,,,,61000,,,-190.38897705078125,-6.4450907707214355,0.631358802318573,189.17820739746094,189.21693420410156,0.03358781710267067,1.5193772315979004,0.0003,0.0003,0.033590249717235565
,,,,,61999,3262.8345,1000,,,,,,,,,,
,,,,,62000,,,-197.39942932128906,-6.273585319519043,0.5888410210609436,196.0960235595703,196.00112915039062,0.03453391045331955,1.3892066478729248,0.0003,0.0003,0.03453508019447327
,,,,,62999,3309.6116,1000,,,,,,,,,,
,,,,,63000,,,-201.66946411132812,-5.897848129272461,0.6383933424949646,200.536865234375,200.61973571777344,0.03540370613336563,0.17259061336517334,0.0003,0.0003,0.035403233021497726
,,,,,63999,3389.279,1000,,,,,,,,,,
,,,,,64000,,,-204.37899780273438,-6.176680564880371,0.6681708693504333,203.10971069335938,203.17904663085938,0.035894230008125305,1.3419634103775024,0.0003,0.0003,0.03589613735675812
,,,,,64999,2754.1094,1000,,,,,,,,,,
3319.2688,43.37108,3398.4124,3256.9531,1000.0,65000,,,-209.59463500976562,-5.916099548339844,0.6279827356338501,208.33535766601562,208.42430114746094,0.036722589284181595,-0.9913055896759033,0.0003,0.0003,0.03672274574637413
,,,,,65999,3322.6587,1000,,,,,,,,,,
,,,,,66000,,,-216.76377868652344,-6.579565525054932,0.8997631072998047,215.63470458984375,215.51502990722656,0.03652819246053696,1.94778311252594,0.0003,0.0003,0.03652779012918472
,,,,,66999,3223.1519,1000,,,,,,,,,,
,,,,,67000,,,-222.14822387695312,-5.897041320800781,0.837996244430542,221.14463806152344,221.08047485351562,0.035094212740659714,0.2772459387779236,0.0003,0.0003,0.03509363532066345
,,,,,67999,3323.3965,1000,,,,,,,,,,
,,,,,68000,,,-220.74583435058594,-6.287680625915527,1.2376987934112549,219.51148986816406,219.53805541992188,0.03448396921157837,1.255280613899231,0.0003,0.0003,0.03448466956615448
,,,,,68999,3243.3818,1000,,,,,,,,,,
,,,,,69000,,,-224.43910217285156,-6.081615447998047,1.8611738681793213,223.3592987060547,223.29075622558594,0.03448155149817467,-0.09320619702339172,0.0003,0.0003,0.03448259085416794
,,,,,69999,3451.1472,1000,,,,,,,,,,
3484.9688,48.05148,3558.4595,3365.2222,1000.0,70000,,,-225.866455078125,-5.877624988555908,0.7768590450286865,224.63912963867188,224.78887939453125,0.03442284092307091,0.05689430236816406,0.0003,0.0003,0.03442182019352913
,,,,,70999,3383.88,1000,,,,,,,,,,
